Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C Time
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20C0 222.75 0.10 3.50 12.00 0.01 20170923104051
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BF 222.75 0.10 3.50 12.00 0.01 20170923104051
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20BE 223.00 0.10 3.50 12.00 0.01 20170923104051
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83B F83C 20BE 223.00 0.10 3.50 12.00 0.01 20170923104051
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BD 222.75 0.10 3.50 12.00 0.01 20170923104052
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83B F83C 20BD 222.50 0.10 3.50 12.00 0.01 20170923104052
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BC 222.50 0.10 3.50 12.00 0.01 20170923104052
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F83C 20BC 222.75 0.10 3.50 12.00 0.01 20170923104052
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20BB 222.50 0.10 3.50 12.00 0.03 20170923104052
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20BB 222.50 0.10 3.50 12.00 0.01 20170923104052
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20BB 222.50 0.10 3.50 12.00 0.01 20170923104053
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20BA 222.75 0.10 3.50 12.00 0.01 20170923104053
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83B F83C 20BA 222.50 0.10 3.50 12.00 0.01 20170923104053
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BA 222.50 0.10 3.50 12.00 0.01 20170923104053
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BA 222.25 0.10 3.50 12.00 0.01 20170923104053
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F83C 20BA 222.50 0.10 3.50 12.00 0.01 20170923104053
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20BA 222.75 0.10 3.50 12.00 0.01 20170923104054
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.50 0.10 3.50 12.00 0.01 20170923104054
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.25 0.10 3.50 12.00 0.01 20170923104054
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20B9 222.50 0.10 3.50 12.00 0.01 20170923104054
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.50 0.10 3.50 12.00 0.01 20170923104054
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.75 0.10 3.50 12.00 0.01 20170923104054
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F83C 20B9 222.50 0.10 3.50 12.00 0.01 20170923104055
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.75 0.10 3.50 12.00 0.01 20170923104055
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83B F83C 20B9 222.50 0.10 3.50 12.00 0.03 20170923104055
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.75 0.10 3.50 12.00 0.01 20170923104055
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.50 0.10 3.50 12.00 0.01 20170923104055
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.50 0.10 3.50 12.00 0.01 20170923104055
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.75 0.10 3.50 12.00 0.01 20170923104056
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.25 0.10 3.50 12.00 0.01 20170923104056
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B9 222.25 0.10 3.50 12.00 0.01 20170923104056
